,AwayTeam,AwayTeamID,AwayTeamLine,AwayTeamPythagoreanExpectedWin%,AwayTeamRating,AwayTeamStartingPitcherAdjustment,AwayTeamStartingPitcherRating,AwayTeamWinProbability,Date,HomeTeam,HomeTeamID,HomeTeamLine,HomeTeamPythagoreanExpectedWin%,HomeTeamRating,HomeTeamStartingPitcherAdjustment,HomeTeamStartingPitcherRating,HomeTeamWinProbability,Over/Under,WasHomeTeamWinner,WinningTeam,WinningTeamID,WinningTeamLine
0,COL,2956,118,0.693831402777,1520.253,-40.0158,43.985,0.441336756236,2011/04/14 12:10,NYM,2964,-125,0.823607411444,1491.85,5.3392,49.959,0.558663243764,7.5,0,COL,2956,118
1,MIN,2983,117,0.778094505229,1512.702,8.66068308899,49.775,0.492803286144,2011/04/14 6:40,TB,2960,-124,0.849345346234,1523.08,-23.1287,45.375,0.507196713856,8.5,1,TB,2960,-124
2,COL,2956,-108,0.682180328327,1521.905,17.531,56.189,0.535159769419,2011/04/14 3:33,NYM,2964,102,0.806450280946,1490.198,0.7661,48.831,0.464840230581,7.5,0,COL,2956,-108
3,ARI,2968,219,0.786654698378,1510.213,2.0398,49.041,0.340350780808,2011/08/16 7:05,PHI,2958,-235,0.842065709643,1573.698,23.2509,60.958,0.659649219192,7.5,0,ARI,2968,219
4,TB,2960,134,0.832132629176,1533.46,5.14800967711,51.424,0.399725949971,2011/08/16 7:10,BOS,2966,-142,0.812200421943,1574.635,10.6079,53.294,0.600274050029,9.0,0,TB,2960,134
5,TB,2960,150,0.831921283106,1534.737,12.2858,55.007,0.390942951306,2011/08/16 1:05,BOS,2966,-160,0.81193748836,1573.359,31.4336,57.467,0.609057048694,8.0,1,BOS,2966,-160
6,MIN,2983,251,0.821087362538,1484.717,8.66068308899,44.745,0.360833293673,2011/08/16 7:05,DET,2978,-270,0.819649323917,1499.089,69.6117,64.771,0.639166706327,8.0,1,DET,2978,-270
7,LAD,2967,149,0.836844483902,1484.739,-8.6809,49.888,0.395757425457,2011/08/16 8:10,MIL,2976,-159,0.80953471797,1523.268,2.303,52.05,0.604242574543,8.0,1,MIL,2976,-159
8,CIN,2961,-111,0.786561939912,1510.564,3.9527,50.11,0.524512236116,2011/08/16 7:05,WSH,2972,105,0.795389791926,1483.247,-12.831,45.89,0.475487763884,8.5,1,WSH,2972,105
9,CHC,2982,-140,0.797582176757,1471.68,20.7364,51.828,0.559823345522,2011/08/16 8:05,HOU,2981,132,0.802685855102,1417.369,9.2778,49.373,0.440176654478,7.5,1,HOU,2981,132
10,CLE,2980,101,0.810219797058,1497.71,23.7538,55.717,0.486925606778,2011/08/16 8:10,CWS,2974,-107,0.813335132604,1509.608,-2.8529,51.857,0.513074393222,8.0,1,CWS,2974,-107
11,SF,2962,131,0.827973048556,1520.394,-18.8564,49.447,0.444879569198,2011/08/16 7:10,ATL,2957,-139,0.821093633765,1537.639,-21.6435,46.484,0.555120430802,8.5,1,ATL,2957,-139
12,NYM,2964,118,0.795020535362,1505.269,-0.8178,48.841,0.457701951376,2011/08/16 10:05,SD,2955,-125,0.820380995018,1497.207,12.7063110741,50.713,0.542298048624,6.5,1,SD,2955,-125
13,NYY,2970,-153,0.821388096622,1581.102,-9.212,49.991,0.627809715542,2011/08/16 8:10,KC,2965,144,0.786020616508,1459.49,-2.4252,47.156,0.372190284458,9.0,0,NYY,2970,-153
14,BAL,2959,120,0.815884388409,1452.283,9.30348885624,47.971,0.431642707986,2011/08/16 10:05,OAK,2969,-127,0.820052849357,1494.649,-9.2637,48.201,0.568357292014,8.5,1,OAK,2969,-127
15,TOR,2984,-106,0.792850534706,1521.227,-20.4309,45.788,0.532304100834,2011/08/16 10:10,SEA,2973,100,0.829522836497,1471.905,-17.5874,47.954,0.467695899166,8.5,0,TOR,2984,-106
16,TEX,2977,-128,0.823194143131,1559.89,-16.7602,49.725,0.541797047083,2011/08/16 10:05,LAA,2979,121,0.833021266261,1515.591,-25.5727,47.269,0.458202952917,8.5,0,TEX,2977,-128
